audio_0000_nosilence_000|Did you know our national bird, the bald eagle? Its primary purpose in life is to build a better nest.
audio_0001_nosilence_000|This September, my first picture book for children, called Just Because, is going to be hitting shelves. I am personally excited about this because this is a collection of life lessons that I hope is going to empower young readers big.
audio_0001_nosilence_001|small. Hope is going to help them celebrate the poetry of human relations and interactions, mine and yours. Over it reminds them that one person's appetite just because.
audio_0002_nosilence_000|Everybody happy Friday, happy September. That's knockup on me a hair. As the days are about start getting shorter, which means you get an extra hour of darkness on a Friday night, which can be a good thing. I don't know, I kind of like it.
audio_0002_nosilence_001|It's coming early, it's kind of either earlier, you look up and start thinking, oh my gosh, is it one o'clock yet? No, just coming on midnight. Hey, this week, mattering matters. Problems question I hear.
audio_0002_nosilence_002|Man, I'm just, I don't know, feeling insignificant inadequate at work and my relationship is like everything I do. I can just miss in the mark. I'm not satisfied and I'm frustrated with my life right now. I hear people say, man, I'm grinding at work, man.
audio_0002_nosilence_003|grinding, and waiting on that promotion, but it just never comes. Well, I found an answer once in a very unexpected place. My mom's retirement community. Yeah, I don't know about all retirement.
audio_0002_nosilence_004|communities, but this one was cool. There was a bunch of old people minding to themselves, not looking for anything or anyone else to give them significance. It's like they got into older age and became revolutionaries again.
audio_0002_nosilence_005|or anarchist. I don't know. Anyway, they were like kids. These particular elders were God-loving patriotic Americans with wild senses of humor and a total lack of pre-tint or political correctness. They laughed at every...
audio_0002_nosilence_006|and loved getting laughed at. They also love to have a good chat and offer unsolicited life advice. You always look like you're having fun when I see your work, Matthew, and that's what life's about. Keep that in fun.
audio_0002_nosilence_007|or this one. Either the greatest achievement in life as kids, I'm not the usually just telling you, you have a bunch of them. And remember, grandkids or twice as nice and half the world.
audio_0002_nosilence_008|Death, family, crisis, and newborns, the end of a life, trying to keep a life, and welcoming in a new one. These are three things that will shake our floor. Give us clarity, remind us of our mortality, and give us courage to live our life.
audio_0002_nosilence_009|harder, stronger and truer. Three things that make us ask ourselves, what matters? Three things that make us realize it all does. The following is an excerpt from a...
audio_0002_nosilence_010|prayer, my new book poems and prayers. It's called mattering matters. So dear God, may what matters to me be what matters to you? And may that matter determine what I do?
audio_0002_nosilence_011|May my struggle matter more than my strive, may death matter more than this life. May forgiveness matter more than revenge. May restraint matter more than my binge. May my wants matter as much as...
audio_0002_nosilence_012|my needs, may my thoughts matter less than my deeds. May the truth matter more than the lies, may the house matter as much as the wise, may the guest matter to the host, may the
audio_0002_nosilence_013|matter to the coast. May the cheers matter to the toast. May the humor matter to the roast. May earn matter more than deserve. May the steel matter to the nerve. May space matter to town.
audio_0002_nosilence_014|May the heart matter to mind. May the risk matter to the leap. May letting go matter to keep. May the spirit matter to our voice. May options matter to our choice. May rhythm matter to...
audio_0002_nosilence_015|my muse may finding matter when I lose, may should matter to must, may love matter to lust, may righteousness matter to just, may our word matter to trust, may laws matter to the
audio_0002_nosilence_016|may borders matter to the fence, may money matter to spend, may prayer matter to the bend, may what's broken matter to mend, may the credit matter to lend, may memory matter to
audio_0002_nosilence_017|Matter to libation and may fun, matter on vacation. May help matter to the holler. May prudence matter to the collar. May science matter to prediction. May dreams matter to fiction. May ignorance matter to...
audio_0002_nosilence_018|abuse may pardon matter to the excuse may direction matter to the pace and may debate matter to the case may heaven matter to seek may patience matter to the
audio_0002_nosilence_019|How's Matter 2 I do and may the horizon matter to our view? Hearing matters, talk to you next week.
